sku;price
040 3015 1021;8450.0
040 3025 1021;11960.0
040 3035 1021;14950.0
040 3035 2021;15600.0
040 3045 2021;24700.0
040 3046 1021;20800.0
010 1010 3060;3640.0
010 1010 4060;4030.0
010 1010 5060;5070.0
010 1010 6060;6110.0
010 1020 3080;3250.0
010 1020 4060;4030.0
010 1030 3080;4550.0
010 1030 6060;9100.0
010 1040 3060;6370.0
010 1040 6060;10790.0
010 1050 3080;9230.0
010 1050 4060;11700.0
010 1050 5060;117000.0
010 1060 4060;21450.0
010 1060 5060;26000.0
010 1070 4060;52000.0
010 2010 3060;3250.0
010 2010 4060;4290.0
010 2010 6060;2600.0
010 2020 3060;3250.0
010 2010 5060;3139.29
010 2020 6060;3858.06
010 2030 4060;3900.0
010 2030 3060;3250.0
010 2030 5060;4550.0
010 2030 6060;5460.0
010 2040 3060;4550.0
010 2040 4060;5590.0
010 2040 5060;7540.0
010 2050 3060;4810.0
010 2050 4060;5850.0
010 2050 5060;6500.0
010 2050 6060;7150.0
010 2060 3060;6760.0
010 2060 4060;7670.0
010 2060 5060;8450.0
010 2060 6060;10400.0
010 2070 3060;9750.0
010 2070 4060;13000.0
010 2070 5060;18200.0
010 1010 3030;6240.0
010 1010 4030;8060.0
010 1010 5030;8970.0
010 1020 3030;6890.0
010 1010 6030;8970.0
010 1020 6030;12870.0
010 1020 4030;8840.0
010 1030 3030;9750.0
010 1020 5030;11700.0
010 1030 4030;12740.0
010 1030 5030;14300.0
010 1030 6030;16380.0
010 1040 3030;12610.0
010 1040 4030;18070.0
010 1040 5030;21450.0
010 1040 6030;22750.0
010 1050 3030;19370.0
010 1050 4030;24700.0
010 1050 5030;28600.0
010 1060 5030;39000.0
010 1060 6030;52000.0
010 1060 4030;44200.0
010 2010 3030;6370.0
010 2010 4030;6240.0
010 1070 4030;74016.97
010 2010 5030;5200.0
010 2010 6030;3640.0
010 1070 5030;107900.0
010 2030 3030;7800.0
010 2030 5030;9490.0
010 2030 6030;8710.0
010 2030 4030;9100.0
010 2050 3030;10400.0
010 2050 4030;11700.0
010 2050 5030;13520.0
010 2050 6030;13650.0
010 2060 3030;13520.0
010 2060 4030;16380.0
010 2060 5030;15600.0
010 2060 6030;20800.0
010 2070 3030;19500.0
010 2070 4030;27950.0
010 2070 5030;30680.0
010 2080 4030;36400.0
010 1020 3060;7800.0
010 1030 3060;10400.0
010 1040 4060;13520.0
040 1000 1021;1040.0
040 1000 2021;1170.0
040 1000 3021;1300.0
040 1000 4021;1820.0
040 1000 5021;2210.0
040 1000 7021;3250.0
040 1000 6021;2600.0
040 1000 9021;3900.0
040 1000 8021;3640.0
010 1020 6060;6240.0
040 1010 0021;7800.0
040 1010 1021;26000.0
010 1020 5060;5200.0
010 1030 4060;5460.0
010 1030 5060;6630.0
010 1040 4080;8190.0
010 1040 5060;9750.0
010 1050 6060;15600.0
010 1060 6060;32500.0
