site_sku;yml_vendorCode;site_name
site_sku;yml_vendorCode;site_name
040 3015 1021;13721;Реечный домкрат ДР 1,5 т
040 3025 1021;13722;Реечный домкрат ДР 3 т
040 3035 1021;13723;Реечный домкрат ДР 5 т
040 3035 2021;13726;Реечный домкрат ДРН 5 т низким подхватом
040 3045 2021;13727;Реечный домкрат ДРН 10 т с низким подхватом
040 3046 1021;13724;Реечный домкрат ДР 10 т
010 1010 3060;14539;Таль ручная цепная Сибталь 0.5т-3м
010 1010 4060;14540;Таль ручная цепная Сибталь 0.5т-6м
010 1010 5060;14693;Таль ручная цепная Сибталь 0.5т-9м
010 1010 6060;14591;Таль ручная цепная Сибталь 0.5т-12м
010 1020 3080;14634;Таль ручная цепная 1т-3м Сибталь
010 1020 4060;14542;Таль ручная цепная 1т-6м Сибталь
010 1030 3080;13988;Таль ручная цепная Сибталь 2т-3м
010 1030 6060;13987;Таль ручная цепная Сибталь 2т-12м
010 1040 3060;14636;Таль ручная цепная Сибталь 3т-3м
010 1040 6060;14544;Таль ручная цепная Сибталь 3т-12м
010 1050 3080;14355;Таль ручная цепная 5т-3м Сибталь
010 1050 4060;13991;Таль ручная цепная 5т-6м Сибталь
010 1050 5060;14948;Таль ручная цепная Сибталь 5т-9м
010 1060 4060;14592;Таль ручная цепная Сибталь 10т-6м
010 1060 5060;14357;Таль ручная цепная Сибталь 10т-9м
010 1070 4060;13986;Таль ручная цепная Сибталь 20т-6м
010 2010 3060;14535;Таль ручная рычажная 0,5т-3м СибТаль
010 2010 4060;14631;Таль ручная рычажная 0,5т-6м СибТаль
010 2010 6060;6147;Таль ручная рычажная 0,5т-12м СибТаль
010 2020 3060;14632;Таль ручная рычажная 0,75т-3м СибТаль
010 2010 5060;6150;Таль ручная рычажная 0,5т-9м СибТаль
010 2020 6060;6151;Таль ручная рычажная 0,75т-12м СибТаль
010 2030 4060;13994;Таль ручная рычажная 1т-6м СибТаль
010 2030 3060;13993;Таль ручная рычажная 1т-3м СибТаль
010 2030 5060;13995;Таль ручная рычажная 1т-9м СибТаль
010 2030 6060;14914;Таль ручная рычажная 1т-12м СибТаль
010 2040 3060;14587;Таль ручная рычажная 1,5т-3м СибТаль
010 2040 4060;14350;Таль ручная рычажная 1,5т-6м СибТаль
010 2040 5060;14709;Таль ручная рычажная 1,5т-9м СибТаль
010 2050 3060;14633;Таль ручная рычажная 2т-3м СибТаль
